primeiro_nome,quantidade
Bruna,6
Diego,4
Kenia,4
Anilson,3
Max,3
Wanderson,3
Brena,2
Cristiana,2
Emiliana,2
Ericka,2
Eucir,2
Everson,2
Giovani,2
Graziele,2
Landrya,2
Ledyane,2
Lucilia,2
Normelianes,2
Renato,2
Tom,2
1,1
2,1
Alane,1
Alcenir,1
Alefe,1
Alexandra,1
Allysson,1
Amiga,1
Andrea,1
Anna,1
Ariane,1
Aruan,1
Ayslan,1
Bernado,1
Brenno,1
Camilly,1
Christiane,1
Daiany,1
Danielle,1
Danielly,1
Dora,1
Edenilson,1
Eliane,1
Eliezer,1
Elizabeth,1
Erica,1
Fabrizia,1
Filipe,1
Fran,1
Gena,1
Genesis,1
Genna,1
Gilmara,1
Gilzam,1
Giselly,1
Giulia,1
Gleice,1
Isis,1
Izaura,1
Jania,1
Layla,1
Ligia,1
Liliam,1
Lorenzo,1
Lua,1
Mabe,1
Manoela,1
Marcio,1
Marilza,1
Marlena,1
Marlene,1
Moria,1
Nathalia,1
Nilza,1
Ornella,1
Poliana,1
Ramon,1
Rose,1
Rudy,1
Seria,1
Tainara,1
Ze,1
